i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         ADMM ,t_solve_step, MAX_ITER, dist_to_goal
0,3,1.2,True,304.86563242237094,8,0.1,0.5,False,0.3737390416887744, None,[0.024 0.068 0.076],
0,3,1.5000000000000002,True,259.0635306372201,8,0.1,0.5,True,0.8288191599926601,30,[0.039 0.077 0.088],
1,3,1.3,True,289.0523022767021,8,0.1,0.5,False,0.2799623230776678, None,[0.069 0.017 0.028],
1,3,1.6000000000000003,True,259.3443724018534,8,0.1,0.5,True,0.8427501062542433,30,[0.096 0.036 0.052],
2,3,1.2,True,260.7258128193437,8,0.1,0.5,False,0.2601665749971289, None,[0.05  0.092 0.016],
2,3,1.5000000000000002,True,191.3123695223862,8,0.1,0.5,True,0.8193275333226969,30,[0.071 0.092 0.046],
3,3,1.3,True,310.8911318729402,8,0.1,0.5,False,0.26773189999557173, None,[0.034 0.017 0.073],
3,3,1.5000000000000002,True,286.9796182582284,8,0.1,0.5,True,0.8248274133385469,30,[0.065 0.028 0.096],
4,3,1.0999999999999999,True,182.72771319490937,8,0.1,0.5,False,0.24230697273742408, None,[0.043 0.039 0.077],
4,3,1.3,True,144.63957497135985,8,0.1,0.5,True,0.8071648384569786,30,[0.068 0.033 0.095],
5,3,1.2,True,340.6347897963666,8,0.1,0.5,False,0.2580418166471645, None,[0.003 0.088 0.085],
5,3,1.5000000000000002,True,245.61530266124208,8,0.1,0.5,True,0.8349305466593554,30,[0.015 0.094 0.099],
6,3,1.2,True,309.46406480877647,8,0.1,0.5,False,0.25987780835324276, None,[0.084 0.043 0.027],
6,3,1.4000000000000001,True,245.7519716662281,8,0.1,0.5,True,0.8285166214170333,30,[0.092 0.041 0.046],
7,3,1.2,True,389.3295879515556,8,0.1,0.5,False,0.2606465583473134, None,[0.07  0.023 0.085],
7,3,1.6000000000000003,True,276.4670545891334,8,0.1,0.5,True,0.8508896187631763,30,[0.068 0.049 0.088],
8,3,1.3,True,517.3720948032792,8,0.1,0.5,False,0.29863400768058807, None,[0.056 0.063 0.078],
8,3,1.6000000000000003,False,463.2413778512148,8,0.1,0.5,True,0.8523979999954463,30,[0.066 0.105 0.101],
9,3,1.2,True,331.6686788623536,8,0.1,0.5,False,0.26486639999590506, None,[0.078 0.022 0.084],
9,3,1.4000000000000001,True,291.01946770078234,8,0.1,0.5,True,0.8371021785756706,30,[0.078 0.091 0.09 ],
10,3,1.0999999999999999,True,274.4560808874269,8,0.1,0.5,False,0.24520752728197046, None,[0.084 0.074 0.027],
10,3,1.6000000000000003,False,216.11140544951076,8,0.1,0.5,True,0.8383903250141884,30,[0.1   0.043 0.135],
11,3,1.3,True,371.85428166301585,8,0.1,0.5,False,0.2762919769246274, None,[0.008 0.043 0.073],
11,3,1.6000000000000003,True,330.8021280951674,8,0.1,0.5,True,0.8810210812225705,30,[0.09  0.049 0.094],
12,3,1.0999999999999999,True,210.81994117764685,8,0.1,0.5,False,0.26006478183394804, None,[0.079 0.047 0.029],
12,3,1.4000000000000001,True,173.3088664917476,8,0.1,0.5,True,0.8451511142775416,30,[0.099 0.075 0.05 ],
13,3,0.9999999999999999,True,236.26225987583842,8,0.1,0.5,False,0.25186839000089095, None,[0.028 0.072 0.092],
13,3,1.6000000000000003,False,201.89652942024657,8,0.1,0.5,True,0.8581625437509501,30,[0.167 0.052 0.127],
14,3,1.2,True,353.84851599153984,8,0.1,0.5,False,0.3122987833242708, None,[0.073 0.009 0.097],
14,3,1.5000000000000002,True,257.5536352538579,8,0.1,0.5,True,0.8820834800057734,30,[0.084 0.024 0.092],
