i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
0,3,1.2,True,491.1910105151603,8,0.1,0.2,ilqr,"[100, 101, 102]","0.011014090861155838","0.001982316922792639","[[100], [101], [102]]","[0.06114192811708822, 0.0785725164716819, 0.03099160318411131]"
0,3,1.2,True,504.4028803906004,8,0.1,0.2,centralized_mpc,0.4216634133329838, 0.1121133866547809, 3,[0.06  0.085 0.026],
0,3,1.2,True,520.9005415130275,8,0.1,0.2,True,0.5163319565830938,0.07947160408115736,3,[0.058 0.091 0.03 ],
1,3,1.3,True,686.3518978026794,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013406532102425657","0.009119858616335517","[[100], [101], [102]]","[0.08832686709223485, 0.062340887157067246, 0.051493034088620736]"
1,3,1.4000000000000001,True,670.4395832139178,8,0.1,0.2,centralized_mpc,0.4014012225712317, 0.049158953330996895, 3,[0.091 0.049 0.038],
1,3,1.4000000000000001,True,675.828396659115,8,0.1,0.2,True,0.40643224409506645,0.003101006988730036,3,[0.097 0.054 0.04 ],
2,3,1.0999999999999999,True,504.0521013124354,8,0.1,0.2,ilqr,"[100, 101, 102]","0.016185852212043814","0.004912963742305418","[[100], [101], [102]]","[0.07624250360326885, 0.09558963908529618, 0.04175514773886777]"
2,3,1.2,True,500.090605506654,8,0.1,0.2,centralized_mpc,0.39941909858437913, 0.04376083803663226, 3,[0.052 0.081 0.027],
2,3,1.2,True,503.3939284811312,8,0.1,0.2,True,0.4039339024998803,0.0029337259552987736,3,[0.055 0.084 0.027],
3,3,1.2,True,689.634619674676,8,0.1,0.2,ilqr,"[100, 101, 102]","0.020518333083398628","0.008252599257013767","[[100], [101], [102]]","[0.0594818008009069, 0.06291969589346844, 0.09563935616900066]"
3,3,1.3,True,617.1179504911036,8,0.1,0.2,centralized_mpc,0.4149054801536505, 0.0479486863477017, 3,[0.039 0.051 0.091],
3,3,1.3,True,620.3153907162044,8,0.1,0.2,True,0.45378901502585783,0.037509127510778444,3,[0.039 0.053 0.094],
4,3,1.0999999999999999,True,709.8550332669895,8,0.1,0.2,ilqr,"[100, 101, 102]","0.05403831766692969","0.012665876615324678","[[100, 101], [100, 101, 102], [101, 102]]","[0.0680391958489025, 0.08606473764485154, 0.03711549017799914]"
4,3,1.5000000000000002,True,593.3681162434145,8,0.1,0.2,centralized_mpc,0.4648577213338285, 0.07306478122389387, 3,[0.083 0.093 0.078],
4,3,1.8000000000000005,True,746.2230234955192,8,0.1,0.2,True,0.7547834367590743,0.17743076154092818,3,[0.067 0.094 0.071],
5,3,1.3,True,663.4477433605465,8,0.1,0.2,ilqr,"[100, 101, 102]","0.012264469128216986","0.007008133891822422","[[100], [101], [102]]","[0.08138818683762525, 0.07095302338492077, 0.02585257283226835]"
5,3,1.3,True,697.483024735733,8,0.1,0.2,centralized_mpc,0.42032537623107114, 0.06652483724235839, 3,[0.099 0.084 0.023],
5,3,1.4000000000000001,True,679.1602977019542,8,0.1,0.2,True,0.4088142504764879,0.003967082173050379,3,[0.08  0.068 0.018],
6,3,1.3,True,672.2904300460548,8,0.1,0.2,ilqr,"[100, 101, 102]","0.011990210282349903","0.009060144552744936","[[100], [101], [102]]","[0.09674101741121592, 0.0680903391896855, 0.0387797064384964]"
6,3,1.5000000000000002,True,695.1832744930164,8,0.1,0.2,centralized_mpc,0.4193019647335556, 0.07101339122873772, 3,[0.08  0.042 0.02 ],
6,3,1.5000000000000002,True,700.1983506521586,8,0.1,0.2,True,0.40948241033321314,0.0037535814676969335,3,[0.087 0.046 0.024],
7,3,1.0999999999999999,True,542.0560104093718,8,0.1,0.2,ilqr,"[100, 101, 102]","0.010708068999961004","0.00618998795007466","[[100], [101], [102]]","[0.0906710059107885, 0.06706687035898931, 0.045367849011134886]"
7,3,1.0999999999999999,True,534.4602187120139,8,0.1,0.2,centralized_mpc,0.39623786754567514, 0.04206444064629025, 3,[0.086 0.065 0.04 ],
7,3,1.0999999999999999,True,539.5313807574188,8,0.1,0.2,True,0.40522532109058707,0.0024576671626463102,3,[0.087 0.065 0.042],
8,3,1.4000000000000001,True,891.2510527998545,8,0.1,0.2,ilqr,"[100, 101, 102]","0.014932903285236014","0.009235887396989283","[[100], [101], [102]]","[0.07583164101775325, 0.046855735331597384, 0.08425232420585745]"
8,3,1.5000000000000002,True,945.0554328487893,8,0.1,0.2,centralized_mpc,0.42289776660060546, 0.07173014645401261, 3,[0.064 0.032 0.089],
8,3,1.5000000000000002,True,950.1335207067848,8,0.1,0.2,True,0.40996657644443785,0.00593469762751202,3,[0.069 0.037 0.095],
9,3,1.3,True,936.4888325501863,8,0.1,0.2,ilqr,"[100, 101, 102]","0.02283059415360465","0.009770933434779248","[[100], [101], [102]]","[0.021078273464758837, 0.057961127125384995, 0.08703302356108791]"
9,3,1.4000000000000001,True,685.8103874785771,8,0.1,0.2,centralized_mpc,0.42235872178545314, 0.07441263334591001, 3,[0.039 0.043 0.077],
9,3,1.3,True,733.9154275799903,8,0.1,0.2,True,0.4622645989744715,0.04224886740237822,3,[0.029 0.062 0.082],
10,3,1.0999999999999999,True,590.4810974174683,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01271941306086691","0.008572886338740749","[[100], [101], [102]]","[0.09561921052948376, 0.0690563864319508, 0.049556113163295744]"
10,3,1.0999999999999999,True,567.4528769034544,8,0.1,0.2,centralized_mpc,0.39402085800016223, 0.03660837480749822, 3,[0.099 0.076 0.043],
10,3,1.2,True,537.8816638627495,8,0.1,0.2,True,0.4042407539446786,0.0022755398634958677,3,[0.075 0.053 0.038],
11,3,1.3,True,662.6326684431225,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013907629256815802","0.01071580749085355","[[100], [101], [102]]","[0.09265449190681209, 0.061027771423401524, 0.030854058994127673]"
11,3,1.4000000000000001,True,623.0320296614358,8,0.1,0.2,centralized_mpc,0.4080401810006151, 0.04808408001544422, 3,[0.079 0.046 0.018],
11,3,1.4000000000000001,True,629.2241086062708,8,0.1,0.2,True,0.4305805510478725,0.02039932964048654,3,[0.085 0.049 0.022],
12,3,1.4000000000000001,True,832.7215491463364,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013056056618855408","0.007634623742673377","[[100], [101], [102]]","[0.08040577786100475, 0.02799727811269114, 0.06431333852214825]"
12,3,1.4000000000000001,True,743.1090833446654,8,0.1,0.2,centralized_mpc,0.4093775397858345, 0.06482972135155846, 3,[0.094 0.02  0.071],
12,3,1.5000000000000002,True,737.6291830933733,8,0.1,0.2,True,0.406641431755189,0.0036940595258751446,3,[0.077 0.02  0.058],
