i_trial,n_agents,converged,objective_val,N,dt,radius, t_solve_step, dist_to_goal
0,3,TRUE,763.6703251,10,0.1,0.35,0.725851504,[0.088 0.008 0.077]
1,3,TRUE,1337.270357,10,0.1,0.35,0.703303856,[0.013 0.072 0.08 ]
2,3,TRUE,955.4054352,10,0.1,0.35,0.691864735,[0.08  0.005 0.084]
3,3,FALSE,None,10,0.1,0.35,None,None
4,3,TRUE,462.855107,10,0.1,0.35,0.90809413,[0.027 0.023 0.003]
5,3,TRUE,2573.569772,10,0.1,0.35,0.70254902,[0.083 0.024 0.024]
6,3,TRUE,2830.132568,10,0.1,0.35,0.710017685,[0.063 0.054 0.037]
7,3,TRUE,3844.480805,10,0.1,0.35,0.760147174,[0.021 0.029 0.047]
8,3,TRUE,2426.6031,10,0.1,0.35,0.594555813,[0.046 0.101 0.033]
9,3,TRUE,3173.898503,10,0.1,0.35,0.666346257,[0.058 0.028 0.085]
10,3,TRUE,2319.966055,10,0.1,0.35,0.579304135,[0.061 0.095 0.019]
11,3,TRUE,2000.294353,10,0.1,0.35,0.828689191,[0.026 0.035 0.044]
12,3,TRUE,1035.658374,10,0.1,0.35,0.77165677,[0.07  0.004 0.071]
13,3,TRUE,3209.128454,10,0.1,0.35,0.594288359,[0.081 0.077 0.003]
14,3,TRUE,3179.786128,10,0.1,0.35,0.65690395,[0.084 0.059 0.032]
15,3,TRUE,3213.516284,10,0.1,0.35,0.676449277,[0.088 0.047 0.023]
16,3,FALSE,None,10,0.1,0.35,None,None
17,3,TRUE,935.9315574,10,0.1,0.35,0.777368643,[0.034 0.027 0.056]
18,3,TRUE,2672.687296,10,0.1,0.35,0.602664959,[0.015 0.068 0.08 ]
19,3,TRUE,2995.858772,10,0.1,0.35,0.72049032,[0.087 0.046 0.024]
20,3,TRUE,1445.635912,10,0.1,0.35,0.721160648,[0.013 0.06  0.094]
21,3,FALSE,None,10,0.1,0.35,None,None
22,3,TRUE,5335.755472,10,0.1,0.35,0.686210866,[0.078 0.019 0.056]
23,3,TRUE,2331.296557,10,0.1,0.35,0.68919556,[0.081 0.009 0.076]
24,3,TRUE,2158.348392,10,0.1,0.35,0.770381089,[0.083 0.078 0.011]
25,3,TRUE,4291.523934,10,0.1,0.35,0.635691155,[0.034 0.098 0.047]
26,3,TRUE,3066.716052,10,0.1,0.35,0.807310139,[0.023 0.024 0.011]
27,3,FALSE,None,10,0.1,0.35,None,None
28,3,TRUE,3723.746592,10,0.1,0.35,0.631753197,[0.059 0.088 0.012]
29,3,TRUE,3439.689047,10,0.1,0.35,0.669003939,[0.091 0.036 0.027]
0,4,FALSE,None,10,0.1,0.35,None,None
1,4,FALSE,None,10,0.1,0.35,None,None
2,4,TRUE,3071.487373,10,0.1,0.35,0.991220481,[0.045 0.018 0.044 0.069]
3,4,TRUE,5930.856336,10,0.1,0.35,0.867980278,[0.007 0.069 0.015 0.08 ]
4,4,TRUE,853.110039,10,0.1,0.35,1.083687692,[0.055 0.017 0.015 0.088]
