i_trial,n_agents,converged,objective_val,N,dt,radius,        t_solve_step, dist_to_goal
0,3,True,763.6703251014429,10,0.1,0.35,0.7258515038467102,[0.088 0.008 0.077],
1,3,True,1337.2703567578114,10,0.1,0.35,0.7033038555560375,[0.013 0.072 0.08 ],
2,3,True,955.4054351584027,10,0.1,0.35,0.6918647346151724,[0.08  0.005 0.084],
3,3,False,None,10,0.1,0.35,None,None,
4,3,True,462.85510701659905,10,0.1,0.35,0.9080941300038831,[0.027 0.023 0.003],
5,3,True,2573.5697720514668,10,0.1,0.35,0.7025490199995693,[0.083 0.024 0.024],
6,3,True,2830.1325675432295,10,0.1,0.35,0.7100176846154052,[0.063 0.054 0.037],
7,3,True,3844.480804562123,10,0.1,0.35,0.7601471739092275,[0.021 0.029 0.047],
8,3,True,2426.603100175162,10,0.1,0.35,0.5945558133311958,[0.046 0.101 0.033],
9,3,True,3173.8985030061567,10,0.1,0.35,0.6663462571408932,[0.058 0.028 0.085],
10,3,True,2319.9660548877614,10,0.1,0.35,0.5793041354890222,[0.061 0.095 0.019],
11,3,True,2000.294353023203,10,0.1,0.35,0.8286891913006041,[0.026 0.035 0.044],
12,3,True,1035.6583741048687,10,0.1,0.35,0.7716567695682423,[0.07  0.004 0.071],
13,3,True,3209.128454204104,10,0.1,0.35,0.5942883593743318,[0.081 0.077 0.003],
14,3,True,3179.786127766242,10,0.1,0.35,0.6569039499985853,[0.084 0.059 0.032],
15,3,True,3213.51628376547,10,0.1,0.35,0.6764492766660017,[0.088 0.047 0.023],
16,3,False,None,10,0.1,0.35,None,None,
17,3,True,935.931557401927,10,0.1,0.35,0.7773686428582074,[0.034 0.027 0.056],
18,3,True,2672.6872956721613,10,0.1,0.35,0.6026649586214073,[0.015 0.068 0.08 ],
19,3,True,2995.8587720670544,10,0.1,0.35,0.720490320000099,[0.087 0.046 0.024],
20,3,True,1445.6359120463646,10,0.1,0.35,0.7211606481535084,[0.013 0.06  0.094],
21,3,False,None,10,0.1,0.35,None,None,
22,3,True,5335.755471965313,10,0.1,0.35,0.6862108655151478,[0.078 0.019 0.056],
23,3,True,2331.296556596715,10,0.1,0.35,0.6891955600032815,[0.081 0.009 0.076],
24,3,True,2158.3483915986258,10,0.1,0.35,0.7703810892853653,[0.083 0.078 0.011],
25,3,True,4291.5239340534945,10,0.1,0.35,0.6356911548364517,[0.034 0.098 0.047],
26,3,True,3066.716051520301,10,0.1,0.35,0.8073101391289484,[0.023 0.024 0.011],
27,3,False,None,10,0.1,0.35,None,None,
28,3,True,3723.746592277218,10,0.1,0.35,0.6317531969698118,[0.059 0.088 0.012],
29,3,True,3439.689047287595,10,0.1,0.35,0.6690039387106099,[0.091 0.036 0.027],
0,4,False,None,10,0.1,0.35,None,None,
1,4,False,None,10,0.1,0.35,None,None,
2,4,True,3071.4873732440997,10,0.1,0.35,0.9912204807668996,[0.045 0.018 0.044 0.069],
