i_trial,n_agents,converged,objective_val,N,dt,radius,        t_solve_step, dist_to_goal
0,8,False,None,10,0.1,0.15,None,None,
1,8,False,None,10,0.1,0.15,None,None,
2,8,False,None,10,0.1,0.15,None,None,
3,8,False,None,10,0.1,0.15,None,None,
4,8,True,7550.199316966311,10,0.1,0.15,1.6635369636298327,[0.004 0.017 0.032 0.081 0.005 0.043 0.002 0.014],
5,8,True,3920.673825785104,10,0.1,0.15,1.731045551603705,[0.039 0.008 0.031 0.032 0.001 0.072 0.008 0.059],
6,8,False,None,10,0.1,0.15,None,None,
7,8,True,6094.12497996962,10,0.1,0.15,1.653507824235765,[0.031 0.013 0.017 0.057 0.07  0.06  0.014 0.004],
8,8,False,None,10,0.1,0.15,None,None,
9,8,True,11717.019783788084,10,0.1,0.15,1.454633307690995,[0.01  0.007 0.001 0.007 0.013 0.097 0.019 0.002],
10,8,False,None,10,0.1,0.15,None,None,
11,8,False,None,10,0.1,0.15,None,None,
12,8,False,None,10,0.1,0.15,None,None,
13,8,True,7029.033175684839,10,0.1,0.15,1.7157190128965605,[0.072 0.025 0.037 0.012 0.018 0.013 0.062 0.023],
14,8,False,None,10,0.1,0.15,None,None,
15,8,False,None,10,0.1,0.15,None,None,
16,8,False,None,10,0.1,0.15,None,None,
17,8,True,6858.366856640538,10,0.1,0.15,1.6208491470623652,[0.053 0.042 0.047 0.02  0.015 0.053 0.005 0.002],
18,8,False,None,10,0.1,0.15,None,None,
19,8,False,None,10,0.1,0.15,None,None,
20,8,False,None,10,0.1,0.15,None,None,
21,8,True,8405.271512977923,10,0.1,0.15,1.5582582853008609,[0.048 0.01  0.03  0.008 0.028 0.035 0.049 0.076],
22,8,False,None,10,0.1,0.15,None,None,
23,8,False,None,10,0.1,0.15,None,None,
24,8,False,None,10,0.1,0.15,None,None,
25,8,False,None,10,0.1,0.15,None,None,
26,8,True,5745.7006564969915,10,0.1,0.15,1.6944630387137765,[0.011 0.019 0.019 0.082 0.007 0.005 0.006 0.052],
27,8,False,None,10,0.1,0.15,None,None,
28,8,False,None,10,0.1,0.15,None,None,
29,8,False,None,10,0.1,0.15,None,None,
0,9,True,8071.80960979352,10,0.1,0.1,1.9101647666700754,[0.098 0.03  0.008 0.016 0.031 0.001 0.026 0.014 0.005],
1,9,False,None,10,0.1,0.1,None,None,
2,9,False,None,10,0.1,0.1,None,None,
3,9,True,9252.057983681647,10,0.1,0.1,1.985786515622749,[0.006 0.013 0.003 0.033 0.056 0.016 0.078 0.026 0.04 ],
4,9,True,8242.29976237161,10,0.1,0.1,1.9139992657150806,[0.027 0.004 0.009 0.058 0.027 0.012 0.078 0.008 0.016],
5,9,False,None,10,0.1,0.1,None,None,
6,9,True,13357.124870670672,10,0.1,0.1,1.924004493942696,[0.006 0.012 0.004 0.017 0.018 0.044 0.019 0.041 0.081],
7,9,False,None,10,0.1,0.1,None,None,
8,9,True,7346.0061283617015,10,0.1,0.1,2.0660326466721015,[0.005 0.002 0.033 0.027 0.048 0.077 0.009 0.045 0.009],
9,9,False,None,10,0.1,0.1,None,None,
10,9,False,None,10,0.1,0.1,None,None,
11,9,True,8339.620048244775,10,0.1,0.1,1.9478099205846187,[0.057 0.013 0.058 0.009 0.005 0.003 0.048 0.013 0.04 ],
12,9,True,7678.038119168912,10,0.1,0.1,1.866188826470855,[0.051 0.038 0.04  0.011 0.009 0.012 0.032 0.048 0.036],
13,9,False,None,10,0.1,0.1,None,None,
14,9,True,5952.111568191606,10,0.1,0.1,1.911877830306449,[0.08  0.035 0.051 0.009 0.002 0.009 0.046 0.019 0.002],
15,9,False,None,10,0.1,0.1,None,None,
16,9,True,9679.372710169855,10,0.1,0.1,1.8931709424236254,[0.018 0.055 0.004 0.017 0.005 0.02  0.014 0.081 0.033],
17,9,False,None,10,0.1,0.1,None,None,
18,9,False,None,10,0.1,0.1,None,None,
19,9,False,None,10,0.1,0.1,None,None,
20,9,True,10744.0632568917,10,0.1,0.1,1.8638768264705396,[0.003 0.053 0.021 0.048 0.007 0.063 0.005 0.027 0.022],
21,9,False,None,10,0.1,0.1,None,None,
22,9,True,7606.920420041307,10,0.1,0.1,1.8820169090900118,[0.011 0.02  0.062 0.082 0.017 0.035 0.013 0.023 0.003],
23,9,False,None,10,0.1,0.1,None,None,
24,9,False,None,10,0.1,0.1,None,None,
25,9,False,None,10,0.1,0.1,None,None,
26,9,False,None,10,0.1,0.1,None,None,
27,9,False,None,10,0.1,0.1,None,None,
28,9,False,None,10,0.1,0.1,None,None,
29,9,False,None,10,0.1,0.1,None,None,
0,10,False,None,10,0.1,0.1,None,None,
1,10,False,None,10,0.1,0.1,None,None,
2,10,False,None,10,0.1,0.1,None,None,
3,10,False,None,10,0.1,0.1,None,None,
4,10,False,None,10,0.1,0.1,None,None,
5,10,True,10691.277921957842,10,0.1,0.1,2.1283201735350303,[0.032 0.026 0.029 0.075 0.036 0.05  0.007 0.005 0.022 0.02 ],
6,10,False,None,10,0.1,0.1,None,None,
7,10,True,7608.762526589574,10,0.1,0.1,2.257082874197588,[0.061 0.003 0.038 0.021 0.029 0.009 0.064 0.027 0.041 0.022],
8,10,True,12993.473198061436,10,0.1,0.1,1.9468068105266674,[0.001 0.079 0.002 0.033 0.011 0.003 0.017 0.01  0.028 0.003],
9,10,False,None,10,0.1,0.1,None,None,
10,10,False,None,10,0.1,0.1,None,None,
11,10,True,9830.20777814396,10,0.1,0.1,2.0630235257126124,[0.03  0.016 0.015 0.005 0.006 0.007 0.014 0.053 0.008 0.081],
12,10,False,None,10,0.1,0.1,None,None,
13,10,False,None,10,0.1,0.1,None,None,
