i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,        centralized,t_solve, t_solve_step, dist_to_goal
0,10,3.2000000000000015,0,True,[25651.527],15,0.1,0.1,True,86.50705300003756,2.1422709031212435,[0.04  0.078 0.041 0.084 0.055 0.093 0.051 0.083 0.068 0.068],
0,10,3.2000000000000015,0,True,[26193.53],15,0.1,0.1,False,62.108841500012204,0.12513983656499478,[0.04  0.081 0.042 0.09  0.056 0.097 0.052 0.088 0.073 0.072],
1,10,3.2000000000000015,0,True,[18184.82],15,0.1,0.1,True,87.4384859999409,2.1723046125043766,[0.063 0.042 0.02  0.031 0.083 0.067 0.091 0.051 0.044 0.049],
1,10,3.2000000000000015,0,True,[18683.284],15,0.1,0.1,False,34.046087399940006,0.0559168418738409,[0.063 0.044 0.02  0.031 0.091 0.069 0.099 0.053 0.045 0.05 ],
2,10,3.2000000000000015,0,True,[18772.415],15,0.1,0.1,True,95.53416969999671,2.4384735468775034,[0.072 0.021 0.061 0.1   0.042 0.029 0.028 0.052 0.092 0.029],
2,10,3.3000000000000016,0,True,[19386.461],15,0.1,0.1,False,28.90501980006229,0.043449809998767734,[0.065 0.019 0.057 0.099 0.038 0.026 0.025 0.049 0.093 0.027],
3,10,3.1000000000000014,0,True,[16980.39],15,0.1,0.1,True,81.44237459998112,2.092009558068258,[0.08  0.054 0.095 0.072 0.031 0.03  0.032 0.02  0.086 0.059],
3,10,3.5000000000000018,29,False,None,15,0.1,0.1,False,None,0.03708155033990345,[0.053 0.037 0.066 0.051 0.021 0.02  0.022 0.014 1.683 1.459],
4,10,2.9000000000000012,0,True,[19446.097],15,0.1,0.1,True,79.75661440007389,2.205734472412712,[0.094 0.042 0.071 0.082 0.096 0.072 0.081 0.099 0.074 0.083],
4,10,3.0000000000000013,0,True,[19758.222],15,0.1,0.1,False,25.754959099926054,0.041724054666313654,[0.085 0.039 0.065 0.078 0.092 0.067 0.077 0.095 0.069 0.077],
5,10,3.2000000000000015,0,True,[17862.947],15,0.1,0.1,True,99.43697630008683,2.56406566874648,[0.021 0.094 0.079 0.085 0.023 0.016 0.055 0.021 0.018 0.072],
5,10,3.3000000000000016,0,True,[18541.884],15,0.1,0.1,False,37.14080259995535,0.06278037818247509,[0.019 0.095 0.077 0.083 0.021 0.015 0.051 0.019 0.016 0.071],
6,10,3.3000000000000016,0,True,[14911.086],15,0.1,0.1,True,93.81109839992132,2.294144309090563,[0.091 0.049 0.05  0.044 0.024 0.028 0.041 0.033 0.033 0.056],
6,10,3.3000000000000016,0,True,[14994.508],15,0.1,0.1,False,38.88407780008856,0.06624336363465497,[0.091 0.051 0.052 0.045 0.024 0.028 0.042 0.033 0.034 0.057],
