i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,centralized,t_solve,dist_to_goal,
0,3,2.9,0,TRUE,4936.501,10,0.1,0.4,TRUE,7.0949004,[0.027 0.079 0.098],
0,3,3,0,TRUE,5116.848,10,0.1,0.4,FALSE,6.5536987,[0.024 0.074 0.097],
1,3,3.3,0,TRUE,7888.006,10,0.1,0.4,TRUE,9.3090146,[0.093 0.051 0.04 ],
1,3,3.3,0,TRUE,7918.348,10,0.1,0.4,FALSE,9.9373599,[0.093 0.052 0.041],
2,3,2.7,0,TRUE,3152.969,10,0.1,0.4,TRUE,6.7557213,[0.092 0.082 0.03 ],
2,3,2.7,0,TRUE,3171.504,10,0.1,0.4,FALSE,5.0347462,[0.092 0.086 0.03 ],
3,3,2.9,0,TRUE,6450.74,10,0.1,0.4,TRUE,9.3776615,[0.081 0.098 0.079],
3,3,3,0,TRUE,6573.075,10,0.1,0.4,FALSE,18.2458969,[0.075 0.096 0.074],
4,3,2.9,0,TRUE,4533.564,10,0.1,0.4,TRUE,6.7832415,[0.076 0.094 0.025],
4,3,2.9,0,TRUE,4569.839,10,0.1,0.4,FALSE,9.450787,[0.076 0.097 0.025],
5,3,2.7,0,TRUE,3323.566,10,0.1,0.4,TRUE,6.7218609,[0.045 0.076 0.094],
5,3,2.7,0,TRUE,3358.284,10,0.1,0.4,FALSE,4.6249086,[0.045 0.078 0.097],
6,3,2.5,0,TRUE,2788.463,10,0.1,0.4,TRUE,5.7081092,[0.096 0.061 0.09 ],
6,3,2.5,0,TRUE,2793.433,10,0.1,0.4,FALSE,9.6711929,[0.096 0.061 0.091],
7,3,2.9,0,TRUE,6875.005,10,0.1,0.4,TRUE,6.479406,[0.085 0.082 0.096],
7,3,3,0,TRUE,7084.013,10,0.1,0.4,FALSE,7.4651632,[0.075 0.079 0.098],
8,3,2.7,0,TRUE,2627.076,10,0.1,0.4,TRUE,5.9806035,[0.097 0.05  0.04 ],
8,3,4.1,0,TRUE,2784.895,10,0.1,0.4,FALSE,21.7819777,[0.094 0.012 0.098],
9,3,3.1,0,TRUE,6414.113,10,0.1,0.4,TRUE,10.1202426,[0.098 0.046 0.059],
9,3,3.1,0,TRUE,6442.235,10,0.1,0.4,FALSE,12.9672548,[0.099 0.046 0.06 ],
10,3,3,0,TRUE,7257.868,10,0.1,0.4,TRUE,6.6972808,[0.049 0.096 0.091],
10,3,3.1,0,TRUE,7435.2,10,0.1,0.4,FALSE,7.5721035,[0.044 0.092 0.088],
11,3,2.8,0,TRUE,4082.139,10,0.1,0.4,TRUE,6.6287134,[0.057 0.093 0.069],
11,3,2.8,0,TRUE,4107.12,10,0.1,0.4,FALSE,7.0450662,[0.057 0.095 0.07 ],
12,3,3,0,TRUE,5611.667,10,0.1,0.4,TRUE,7.0617531,[0.044 0.07  0.092],
12,3,3,0,TRUE,5709.59,10,0.1,0.4,FALSE,5.1686809,[0.044 0.072 0.097],
13,3,2.6,0,TRUE,2543.33,10,0.1,0.4,TRUE,5.9322376,[0.1   0.037 0.066],
13,3,2.7,0,TRUE,2542.06,10,0.1,0.4,FALSE,9.160853,[0.091 0.033 0.061],
14,3,3.1,0,TRUE,8861.205,10,0.1,0.4,TRUE,7.089284,[0.06  0.095 0.086],
14,3,3.2,0,TRUE,9031.923,10,0.1,0.4,FALSE,5.5073213,[0.055 0.092 0.081],
15,3,2.9,0,TRUE,6289.058,10,0.1,0.4,TRUE,6.4916439,[0.097 0.084 0.07 ],
15,3,2.9,0,TRUE,6331.124,10,0.1,0.4,FALSE,5.1288091,[0.097 0.088 0.071],
16,3,2.4,0,TRUE,1850.637,10,0.1,0.4,TRUE,5.4876949,[0.059 0.093 0.068],
16,3,2.4,0,TRUE,1852.78,10,0.1,0.4,FALSE,4.1100424,[0.059 0.093 0.069],
17,3,2.5,0,TRUE,3460.396,10,0.1,0.4,TRUE,5.5138285,[0.095 0.089 0.094],
17,3,2.5,0,TRUE,3482.284,10,0.1,0.4,FALSE,4.2646011,[0.095 0.091 0.097],
18,3,3.1,0,TRUE,6934.932,10,0.1,0.4,TRUE,6.8320398,[0.081 0.027 0.094],
18,3,3.2,0,TRUE,7097.261,10,0.1,0.4,FALSE,6.9519143,[0.073 0.024 0.092],
19,3,2.4,0,TRUE,1696.13,10,0.1,0.4,TRUE,5.3532872,[0.095 0.075 0.031],
19,3,2.4,0,TRUE,1696.454,10,0.1,0.4,FALSE,4.0869573,[0.095 0.075 0.031],
20,3,3,0,TRUE,6874.491,10,0.1,0.4,TRUE,6.9661313,[0.085 0.053 0.095],
20,3,3.1,0,TRUE,7102.185,10,0.1,0.4,FALSE,8.6348384,[0.077 0.052 0.096],
21,3,2.7,0,TRUE,5167.709,10,0.1,0.4,TRUE,6.1501774,[0.099 0.092 0.091],
21,3,2.7,0,TRUE,5220.386,10,0.1,0.4,FALSE,6.5800807,[0.099 0.097 0.093],
22,3,2.4,0,TRUE,1999.816,10,0.1,0.4,TRUE,5.823153,[0.092 0.052 0.083],
22,3,2.4,0,TRUE,2000.351,10,0.1,0.4,FALSE,4.9419899,[0.092 0.052 0.084],
23,3,2.9,0,TRUE,5224.529,10,0.1,0.4,TRUE,7.0398286,[0.08  0.097 0.048],
23,3,3,0,TRUE,5339.265,10,0.1,0.4,FALSE,7.3036164,[0.073 0.093 0.044],
24,3,3.4,0,TRUE,11303.367,10,0.1,0.4,TRUE,7.9773199,[0.096 0.072 0.029],
24,3,3.4,0,TRUE,11464.657,10,0.1,0.4,FALSE,7.26312,[0.096 0.078 0.029],
25,3,2.5,0,TRUE,1622.479,10,0.1,0.4,TRUE,6.1667827,[0.053 0.03  0.091],
25,3,2.6,0,TRUE,1637.937,10,0.1,0.4,FALSE,22.0677665,[0.097 0.023 0.098],
26,3,3.1,0,TRUE,6023.756,10,0.1,0.4,TRUE,7.4641206,[0.066 0.034 0.091],
26,3,3.2,0,TRUE,6248.968,10,0.1,0.4,FALSE,8.045568,[0.06  0.032 0.091],
27,3,2.7,0,TRUE,3302.046,10,0.1,0.4,TRUE,5.986395,[0.03  0.084 0.092],
27,3,2.7,0,TRUE,3367.5,10,0.1,0.4,FALSE,5.5172924,[0.03  0.087 0.097],
28,3,3,0,TRUE,4264.711,10,0.1,0.4,TRUE,7.6155383,[0.091 0.059 0.015],
28,3,3,0,TRUE,4273.178,10,0.1,0.4,FALSE,7.4162972,[0.091 0.06  0.015],
29,3,2.7,0,TRUE,4625.798,10,0.1,0.4,TRUE,7.4400736,[0.084 0.093 0.087],
29,3,2.7,0,TRUE,4646.069,10,0.1,0.4,FALSE,8.4353838,[0.084 0.095 0.089],
0,4,3.1,0,TRUE,9993.425,10,0.1,0.4,TRUE,14.5973039,[0.088 0.092 0.067 0.05 ],
0,4,3.1,0,TRUE,10120.924,10,0.1,0.4,FALSE,12.5106872,[0.09  0.094 0.07  0.051],
1,4,2.8,0,TRUE,5535.716,10,0.1,0.4,TRUE,13.2335255,[0.095 0.073 0.048 0.08 ],
1,4,5,50,FALSE,None,10,0.1,0.4,FALSE,None,[0.01  0.008 0.882 1.578],
2,4,2.9,0,TRUE,5618.038,10,0.1,0.4,TRUE,13.0309042,[0.092 0.054 0.087 0.024],
2,4,2.9,0,TRUE,5670.622,10,0.1,0.4,FALSE,14.6476816,[0.092 0.055 0.09  0.024],
3,4,3.1,0,TRUE,6960.755,10,0.1,0.4,TRUE,15.3785227,[0.094 0.048 0.067 0.026],
3,4,3.1,0,TRUE,7075.161,10,0.1,0.4,FALSE,19.4369264,[0.098 0.053 0.071 0.026],
4,4,2.9,0,TRUE,6993.407,10,0.1,0.4,TRUE,15.6218853,[0.061 0.084 0.064 0.092],
4,4,3.1,0,TRUE,7273.676,10,0.1,0.4,FALSE,23.68269,[0.05  0.073 0.054 0.091],
5,4,3.2,0,TRUE,9952.21,10,0.1,0.4,TRUE,14.9958795,[0.093 0.075 0.033 0.063],
5,4,3.2,0,TRUE,10060.123,10,0.1,0.4,FALSE,12.7708913,[0.093 0.08  0.034 0.064],
6,4,2.6,0,TRUE,3723.33,10,0.1,0.4,TRUE,13.1757356,[0.059 0.084 0.094 0.058],
6,4,2.6,0,TRUE,3777.992,10,0.1,0.4,FALSE,13.1179621,[0.06  0.085 0.099 0.059],
7,4,3.2,0,TRUE,10768.781,10,0.1,0.4,TRUE,16.0126453,[0.066 0.056 0.093 0.061],
7,4,3.3,0,TRUE,11165.274,10,0.1,0.4,FALSE,19.2804557,[0.061 0.053 0.094 0.059],
8,4,2.9,0,TRUE,5212.163,10,0.1,0.4,TRUE,14.2692682,[0.05  0.078 0.021 0.091],
8,4,3.1,0,TRUE,5436.746,10,0.1,0.4,FALSE,21.2300616,[0.041 0.067 0.05  0.099],
9,4,3.1,0,TRUE,8360.566,10,0.1,0.4,TRUE,15.7973163,[0.028 0.074 0.096 0.056],
9,4,3.2,0,TRUE,8585.975,10,0.1,0.4,FALSE,12.1042491,[0.026 0.07  0.094 0.052],
10,4,2.8,0,TRUE,4690.346,10,0.1,0.4,TRUE,13.6815555,[0.081 0.05  0.03  0.098],
10,4,2.9,0,TRUE,4738.623,10,0.1,0.4,FALSE,7.2453152,[0.073 0.045 0.027 0.093],
11,4,2.8,0,TRUE,5711.409,10,0.1,0.4,TRUE,17.7939854,[0.096 0.066 0.092 0.031],
11,4,2.9,0,TRUE,5731.902,10,0.1,0.4,FALSE,10.8295421,[0.091 0.061 0.087 0.028],
12,4,2.9,0,TRUE,7035.037,10,0.1,0.4,TRUE,13.0897979,[0.028 0.071 0.091 0.097],
12,4,3,0,TRUE,7151.419,10,0.1,0.4,FALSE,15.1184953,[0.026 0.067 0.084 0.092],
13,4,3,0,TRUE,7007.758,10,0.1,0.4,TRUE,12.8655422,[0.046 0.075 0.041 0.099],
13,4,3.1,0,TRUE,7183.056,10,0.1,0.4,FALSE,11.1125838,[0.041 0.07  0.037 0.097],
14,4,3.2,0,TRUE,9522.944,10,0.1,0.4,TRUE,14.3684517,[0.044 0.074 0.038 0.093],
14,4,5,42,FALSE,None,10,0.1,0.4,FALSE,None,[1.442 1.64  2.011 1.776],
15,4,2.7,0,TRUE,3543.047,10,0.1,0.4,TRUE,13.1895142,[0.052 0.039 0.091 0.072],
15,4,2.7,0,TRUE,3556.893,10,0.1,0.4,FALSE,23.1512404,[0.052 0.039 0.091 0.074],
16,4,2.7,0,TRUE,4288.614,10,0.1,0.4,TRUE,12.6765904,[0.061 0.058 0.091 0.078],
16,4,2.7,0,TRUE,4392.996,10,0.1,0.4,FALSE,11.9193345,[0.061 0.06  0.098 0.08 ],
17,4,2.9,0,TRUE,6171.321,10,0.1,0.4,TRUE,13.9352898,[0.043 0.056 0.083 0.093],
17,4,2.9,0,TRUE,6247.657,10,0.1,0.4,FALSE,17.3711869,[0.044 0.057 0.085 0.098],
18,4,3.1,0,TRUE,7671.029,10,0.1,0.4,TRUE,13.741327,[0.094 0.06  0.048 0.058],
18,4,3.1,0,TRUE,7699.35,10,0.1,0.4,FALSE,12.3435922,[0.094 0.062 0.048 0.059],
19,4,2.4,0,TRUE,3542.374,10,0.1,0.4,TRUE,11.5790241,[0.092 0.076 0.092 0.098],
19,4,2.5,0,TRUE,3545.562,10,0.1,0.4,FALSE,16.2949164,[0.084 0.069 0.084 0.091],
20,4,2.7,0,TRUE,5243.515,10,0.1,0.4,TRUE,12.4472675,[0.056 0.089 0.072 0.099],
20,4,2.8,0,TRUE,5305.531,10,0.1,0.4,FALSE,18.6789434,[0.051 0.084 0.067 0.093],
