i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,        centralized,t_solve, t_solve_step, dist_to_goal
0,9,2.600000000000001,0,True,[8702.98],15,0.1,0.1,True,63.72549380001146,1.945088803857708,[0.079 0.064 0.09  0.097 0.072 0.088 0.05  0.074 0.065],
0,9,2.600000000000001,0,True,[8732.183],15,0.1,0.1,False,30.24710480007343,0.07143419658422916,[0.079 0.065 0.092 0.1   0.072 0.089 0.05  0.074 0.066],
1,9,3.0000000000000013,0,True,[13895.529],15,0.1,0.1,True,100.43752310005948,2.825745679993027,[0.053 0.054 0.086 0.071 0.032 0.1   0.042 0.024 0.08 ],
1,9,3.1000000000000014,0,True,[14096.293],15,0.1,0.1,False,34.12027700000908,0.06424296343962806,[0.048 0.05  0.08  0.066 0.029 0.095 0.039 0.022 0.076],
2,9,2.9000000000000012,0,True,[13695.771],15,0.1,0.1,True,78.87514779996127,2.1769589896570762,[0.032 0.084 0.073 0.057 0.083 0.097 0.054 0.059 0.079],
2,9,3.0000000000000013,0,True,[13994.64],15,0.1,0.1,False,31.477061399957165,0.05996871111069427,[0.029 0.082 0.069 0.053 0.078 0.095 0.05  0.055 0.075],
3,9,3.2000000000000015,0,True,[12129.516],15,0.1,0.1,True,103.32979840005282,2.7042109406284,[0.027 0.052 0.04  0.092 0.043 0.041 0.02  0.036 0.062],
3,9,3.2000000000000015,0,True,[12394.85],15,0.1,0.1,False,101.97365289996378,0.24913105347230965,[0.028 0.053 0.041 0.1   0.044 0.042 0.019 0.037 0.065],
4,9,2.800000000000001,0,True,[10286.968],15,0.1,0.1,True,71.58046069997363,2.0155000642906606,[0.069 0.061 0.084 0.058 0.099 0.045 0.077 0.026 0.068],
4,9,2.9000000000000012,0,True,[10384.892],15,0.1,0.1,False,25.172736200038344,0.044905805367516115,[0.063 0.056 0.078 0.053 0.095 0.041 0.07  0.024 0.064],
5,9,3.2000000000000015,0,True,[19763.026],15,0.1,0.1,True,76.73231579991989,1.8678121531120269,[0.098 0.089 0.029 0.064 0.053 0.062 0.082 0.036 0.005],
5,9,3.2000000000000015,0,True,[20104.766],15,0.1,0.1,False,30.234361700015143,0.054921859374492975,[0.098 0.096 0.029 0.067 0.054 0.063 0.086 0.037 0.005],
6,9,3.0000000000000013,0,True,[11884.032],15,0.1,0.1,True,76.49361000000499,2.0075425400165843,[0.066 0.091 0.026 0.094 0.038 0.051 0.048 0.043 0.049],
6,9,3.1000000000000014,0,True,[12107.77],15,0.1,0.1,False,29.28019660001155,0.05157609426292948,[0.06  0.089 0.023 0.091 0.034 0.047 0.044 0.04  0.045],
7,9,3.0000000000000013,0,True,[12821.478],15,0.1,0.1,True,76.85872180003207,2.020992546668276,[0.03  0.043 0.094 0.068 0.046 0.023 0.035 0.093 0.079],
7,9,3.1000000000000014,0,True,[13162.504],15,0.1,0.1,False,27.60156689991709,0.04726850501834131,[0.027 0.04  0.093 0.063 0.042 0.021 0.032 0.091 0.074],
