i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
0,3,3.1000000000000014,0,True,20.66583993691244,10,0.1,0.4,True,7.231558099971153,
1,3,2.800000000000001,0,True,29.08304025546214,10,0.1,0.4,True,6.218963399995118,
2,3,3.0000000000000013,0,True,20.12943315809369,10,0.1,0.4,True,6.878410400007851,
3,3,3.1000000000000014,0,True,26.36893801872544,10,0.1,0.4,True,8.401183700014371,
4,3,2.600000000000001,0,True,28.305336292428663,10,0.1,0.4,True,5.80624440003885,
5,3,2.500000000000001,0,True,32.708723207713824,10,0.1,0.4,True,5.93277960002888,
6,3,2.9000000000000012,0,True,19.445126372223168,10,0.1,0.4,True,6.882370000006631,
7,3,3.3000000000000016,0,True,15.737153271043137,10,0.1,0.4,True,8.653088899969589,
8,3,2.600000000000001,0,True,26.463283915390306,10,0.1,0.4,True,5.834568599995691,
9,3,2.500000000000001,0,True,23.388115671885977,10,0.1,0.4,True,5.702610699983779,
10,3,2.9000000000000012,0,True,35.245560909785375,10,0.1,0.4,True,7.421163899998646,
11,3,2.9000000000000012,0,True,20.876091446434305,10,0.1,0.4,True,6.8742515000049025,
12,3,2.800000000000001,0,True,25.053361728970085,10,0.1,0.4,True,5.986529899993911,
13,3,2.600000000000001,0,True,23.036810517711835,10,0.1,0.4,True,5.99629380000988,
14,3,2.600000000000001,0,True,21.233285935354694,10,0.1,0.4,True,5.368682199972682,
15,3,3.0000000000000013,0,True,25.563608382205498,10,0.1,0.4,True,8.083410900027957,
16,3,3.1000000000000014,0,True,29.14047820780551,10,0.1,0.4,True,7.486461899999995,
17,3,2.400000000000001,0,True,26.159124503389496,10,0.1,0.4,True,5.631521300005261,
18,3,2.9000000000000012,0,True,19.512502885605475,10,0.1,0.4,True,6.8804674000130035,
19,3,2.800000000000001,0,True,29.026008582493795,10,0.1,0.4,True,7.02900000003865,
20,3,3.1000000000000014,0,True,22.76865698533283,10,0.1,0.4,True,7.940091099997517,
21,3,3.0000000000000013,0,True,22.978708884070656,10,0.1,0.4,True,7.580348599993158,
22,3,2.800000000000001,0,True,18.894478507227603,10,0.1,0.4,True,7.862734699971043,
23,3,3.0000000000000013,0,True,27.790819502609484,10,0.1,0.4,True,7.2374554999987595,
24,3,2.800000000000001,0,True,24.529356987354603,10,0.1,0.4,True,6.14559069997631,
25,3,2.9000000000000012,0,True,33.958847468563285,10,0.1,0.4,True,9.266635500011034,
26,3,2.500000000000001,0,True,21.178867505664744,10,0.1,0.4,True,5.7572514999774285,
27,3,3.0000000000000013,0,True,22.485056261337622,10,0.1,0.4,True,7.949067100009415,
28,3,2.3000000000000007,0,True,23.86541983616064,10,0.1,0.4,True,4.574079099984374,
29,3,2.3000000000000007,0,True,24.511680653608906,10,0.1,0.4,True,4.8559829000150785,
0,4,2.800000000000001,0,True,35.927635875812896,10,0.1,0.4,True,12.498866400041152,
1,4,2.800000000000001,0,True,30.47423804221974,10,0.1,0.4,True,12.962070400011726,
2,4,3.1000000000000014,0,True,35.38771319988032,10,0.1,0.4,True,15.158937999978662,
3,4,3.1000000000000014,0,True,19.820857236724027,10,0.1,0.4,True,14.923368599964306,
4,4,2.800000000000001,0,True,22.009345859040177,10,0.1,0.4,True,12.327787199988961,
5,4,2.9000000000000012,0,True,31.382292928478336,10,0.1,0.4,True,15.570451400009915,
6,4,2.9000000000000012,0,True,31.433850147450045,10,0.1,0.4,True,14.277550900005735,
7,4,2.800000000000001,0,True,17.931849236634914,10,0.1,0.4,True,16.05580720002763,
8,4,2.600000000000001,0,True,27.768715091426003,10,0.1,0.4,True,10.398340599960648,
9,4,2.9000000000000012,0,True,32.61545593120486,10,0.1,0.4,True,12.953607700008433,
10,4,2.700000000000001,0,True,26.576784981145003,10,0.1,0.4,True,13.574374800024088,
11,4,1.5000000000000002,0,True,39.533112666429254,10,0.1,0.4,True,8.480729500006419,
12,4,2.700000000000001,0,True,34.83883934764661,10,0.1,0.4,True,12.419705000007525,
13,4,2.9000000000000012,0,True,36.53485001746396,10,0.1,0.4,True,14.789469500014093,
14,4,2.9000000000000012,0,True,23.86007015537173,10,0.1,0.4,True,13.605126599955838,
15,4,0,1,False,None,10,0.1,0.4,True,None,
16,4,3.0000000000000013,0,True,27.015626177840407,10,0.1,0.4,True,14.989777599985246,
17,4,3.1000000000000014,0,True,25.172714037464644,10,0.1,0.4,True,19.71566529996926,
18,4,2.700000000000001,0,True,19.08928828025738,10,0.1,0.4,True,11.326378599973395,
19,4,2.500000000000001,0,True,31.723352476722408,10,0.1,0.4,True,11.617950699990615,
20,4,3.0000000000000013,0,True,33.81033032121116,10,0.1,0.4,True,15.639008900034241,
21,4,3.2000000000000015,0,True,16.819681013243713,10,0.1,0.4,True,16.298718800011557,
22,4,2.9000000000000012,0,True,26.48928580861374,10,0.1,0.4,True,14.210932600020897,
23,4,2.2000000000000006,0,True,45.854279194270305,10,0.1,0.4,True,9.266655099985655,
24,4,3.0000000000000013,0,True,35.0416849188654,10,0.1,0.4,True,11.994937699986622,
25,4,2.400000000000001,0,True,34.07198643907622,10,0.1,0.4,True,12.69291380001232,
26,4,2.600000000000001,0,True,25.905358682258377,10,0.1,0.4,True,11.390828499977943,
27,4,2.400000000000001,0,True,40.33323842176195,10,0.1,0.4,True,10.24873910000315,
28,4,2.500000000000001,0,True,29.19252084558979,10,0.1,0.4,True,11.89570090000052,
29,4,3.1000000000000014,0,True,25.09716828763451,10,0.1,0.4,True,15.420084099983796,
0,5,0,1,False,None,10,0.1,0.25,True,None,
1,5,0,1,False,None,10,0.1,0.25,True,None,
2,5,0,1,False,None,10,0.1,0.25,True,None,
3,5,3.3000000000000016,0,True,20.35095027723902,10,0.1,0.25,True,14.920179299951997,
4,5,2.600000000000001,0,True,32.460874915660845,10,0.1,0.25,True,11.725946700025816,
5,5,2.9000000000000012,0,True,34.78643645155661,10,0.1,0.25,True,13.334431199997198,
6,5,2.700000000000001,0,True,27.659700410329094,10,0.1,0.25,True,12.292600400047377,
7,5,0,1,False,None,10,0.1,0.25,True,None,
8,5,0,1,False,None,10,0.1,0.25,True,None,
9,5,2.9000000000000012,0,True,43.717217993332554,10,0.1,0.25,True,13.644252199970651,
10,5,0,1,False,None,10,0.1,0.25,True,None,
11,5,2.600000000000001,1,False,None,10,0.1,0.25,True,None,
12,5,0,1,False,None,10,0.1,0.25,True,None,
13,5,2.9000000000000012,0,True,39.70920942269272,10,0.1,0.25,True,16.346439200046007,
14,5,0,1,False,None,10,0.1,0.25,True,None,
15,5,3.2000000000000015,0,True,78.79571774318939,10,0.1,0.25,True,35.367746000003535,
