i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids
0,3,3.4000000000000017,0,True,23.925979147416,15,0.1,"[100, 101, 102]",
1,3,3.4000000000000017,0,True,23.067055723501,15,0.1,"[100, 101, 102]",
2,3,3.3000000000000016,0,True,25.967506302231836,15,0.1,"[100, 101, 102]",
3,3,3.3000000000000016,0,True,26.08516103356944,15,0.1,"[100, 101, 102]",
4,3,3.3000000000000016,0,True,26.01991596482844,15,0.1,"[100, 101, 102]",
5,3,3.3000000000000016,0,True,27.596231550222846,15,0.1,"[100, 101, 102]",
6,3,3.3000000000000016,0,True,27.967351859084715,15,0.1,"[100, 101, 102]",
7,3,3.3000000000000016,0,True,26.396752087536527,15,0.1,"[100, 101, 102]",
8,3,3.3000000000000016,0,True,27.092311306408416,15,0.1,"[100, 101, 102]",
9,3,3.3000000000000016,0,True,27.894538728953794,15,0.1,"[100, 101, 102]",
10,3,3.3000000000000016,0,True,25.37932667154348,15,0.1,"[100, 101, 102]",
11,3,3.4000000000000017,0,True,24.61330217138103,15,0.1,"[100, 101, 102]",
12,3,3.3000000000000016,0,True,26.81536341517225,15,0.1,"[100, 101, 102]",
13,3,3.3000000000000016,0,True,24.434787814598444,15,0.1,"[100, 101, 102]",
14,3,3.3000000000000016,0,True,26.33996227992935,15,0.1,"[100, 101, 102]",
15,3,3.3000000000000016,0,True,26.611259297727397,15,0.1,"[100, 101, 102]",
16,3,3.3000000000000016,0,True,24.435654538400403,15,0.1,"[100, 101, 102]",
17,3,3.3000000000000016,0,True,25.506523947730173,15,0.1,"[100, 101, 102]",
18,3,9.99999999999998,90,False,0,15,0.1,"[100, 101, 102]",
19,3,3.3000000000000016,0,True,27.336106694701485,15,0.1,"[100, 101, 102]",
20,3,3.3000000000000016,0,True,26.122865857989595,15,0.1,"[100, 101, 102]",
21,3,3.3000000000000016,0,True,25.54014862786346,15,0.1,"[100, 101, 102]",
22,3,3.3000000000000016,0,True,27.520056084821388,15,0.1,"[100, 101, 102]",
23,3,3.3000000000000016,0,True,27.911367808521057,15,0.1,"[100, 101, 102]",
24,3,3.3000000000000016,0,True,24.42858013228758,15,0.1,"[100, 101, 102]",
25,3,3.3000000000000016,0,True,26.753696314090092,15,0.1,"[100, 101, 102]",
26,3,3.3000000000000016,0,True,25.896463052494283,15,0.1,"[100, 101, 102]",
27,3,3.4000000000000017,0,True,22.312584394506167,15,0.1,"[100, 101, 102]",
28,3,3.3000000000000016,0,True,25.381247153030515,15,0.1,"[100, 101, 102]",
29,3,3.3000000000000016,0,True,37.855740922949046,15,0.1,"[100, 101, 102]",
0,5,9.99999999999998,0,False,13936.156191407088,15,0.1,"[100, 101, 102, 103, 104]",
1,5,9.99999999999998,0,False,15098.862725690573,15,0.1,"[100, 101, 102, 103, 104]",
2,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
3,5,9.99999999999998,0,False,15910.753035104637,15,0.1,"[100, 101, 102, 103, 104]",
4,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
5,5,9.99999999999998,0,False,15117.963015749825,15,0.1,"[100, 101, 102, 103, 104]",
6,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
7,5,9.99999999999998,0,False,16719.336102971,15,0.1,"[100, 101, 102, 103, 104]",
8,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
9,5,9.99999999999998,0,False,16222.747793126491,15,0.1,"[100, 101, 102, 103, 104]",
10,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
11,5,9.99999999999998,0,False,13904.148622252798,15,0.1,"[100, 101, 102, 103, 104]",
12,5,9.99999999999998,0,False,13881.987379444967,15,0.1,"[100, 101, 102, 103, 104]",
13,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
14,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
15,5,9.99999999999998,0,False,14979.68538349335,15,0.1,"[100, 101, 102, 103, 104]",
16,5,9.99999999999998,0,False,15783.51625642808,15,0.1,"[100, 101, 102, 103, 104]",
17,5,9.99999999999998,0,False,16066.70875922691,15,0.1,"[100, 101, 102, 103, 104]",
18,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
19,5,9.99999999999998,0,False,15657.50580591119,15,0.1,"[100, 101, 102, 103, 104]",
20,5,9.99999999999998,0,False,13605.742716213863,15,0.1,"[100, 101, 102, 103, 104]",
21,5,9.99999999999998,0,False,16119.430808175217,15,0.1,"[100, 101, 102, 103, 104]",
22,5,9.99999999999998,0,False,14844.42976805618,15,0.1,"[100, 101, 102, 103, 104]",
23,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
24,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
25,5,9.99999999999998,0,False,15861.249978168546,15,0.1,"[100, 101, 102, 103, 104]",
26,5,9.99999999999998,0,False,14458.266254342432,15,0.1,"[100, 101, 102, 103, 104]",
27,5,9.99999999999998,0,False,15868.843826297489,15,0.1,"[100, 101, 102, 103, 104]",
28,5,9.99999999999998,0,False,14353.721280676711,15,0.1,"[100, 101, 102, 103, 104]",
29,5,9.99999999999998,100,False,0,15,0.1,"[100, 101, 102, 103, 104]",
0,10,4.000000000000002,0,True,46.11909061430149,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
1,10,4.000000000000002,0,True,48.25707823813579,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
2,10,4.000000000000002,0,True,38.77562744331134,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
